molec_id,local_iso_id,nu,sw,a,gamma_air,gamma_self,elower,n_air,delta_air
7,1,9376.637796,2.731e-28,4.763e-07,0.0543,0.054,18.3372,0.84,0.0
7,1,9378.587364,1.423e-28,2.46e-07,0.0543,0.054,16.3876,0.84,0.0
7,1,9381.572213,2.999e-28,4.111e-07,0.0523,0.052,44.2117,0.84,0.0
7,1,9381.686199,1.208e-28,2.506e-07,0.0555,0.056,2.0843,0.84,0.0
7,1,9383.559954,1.947e-28,2.644e-07,0.0523,0.052,42.224,0.84,0.0
7,1,9386.207642,3.016e-28,3.795e-07,0.0504,0.049,81.5805,0.84,0.0
7,1,9388.22353,2.185e-28,2.724e-07,0.0504,0.049,79.5646,0.84,0.0
7,1,9390.542753,2.792e-28,3.61e-07,0.0487,0.047,130.4375,0.84,0.0
7,1,9392.582516,2.161e-28,2.767e-07,0.0487,0.047,128.3977,0.84,0.0
7,1,9392.592047,1.478e-28,2.096e-07,0.0533,0.053,16.3876,0.84,0.0
7,1,9394.576104,2.393e-28,3.487e-07,0.0469,0.046,190.7748,0.85,0.0
7,1,9396.637536,1.936e-28,2.795e-07,0.0469,0.046,188.7134,0.85,0.0
7,1,9398.306147,1.909e-28,3.403e-07,0.0449,0.044,262.5827,0.83,0.0
7,1,9400.387962,1.594e-28,2.814e-07,0.0449,0.044,260.5009,0.83,0.0
7,1,9401.731225,1.421e-28,3.339e-07,0.0427,0.043,345.8495,0.83,0.0
7,1,9403.163069,1.621e-28,1.916e-07,0.0513,0.05,42.224,0.84,0.0
7,1,9403.832612,1.215e-28,2.827e-07,0.0427,0.043,343.7481,0.83,0.0
7,1,9404.849569,9.903e-29,3.291e-07,0.0404,0.041,440.5618,0.81,0.0
7,1,9406.969987,8.625e-29,2.838e-07,0.0404,0.041,438.4413,0.81,0.0
7,1,9407.659302,6.471e-29,3.253e-07,0.038,0.04,546.7042,0.8,0.0
7,1,9409.798374,5.72e-29,2.847e-07,0.038,0.04,544.5651,0.8,0.0
7,1,9410.158433,3.97e-29,3.221e-07,0.0356,0.038,664.2595,0.8,0.0
7,1,9412.315889,3.552e-29,2.853e-07,0.0356,0.038,662.102,0.8,0.0
7,1,9412.344859,2.29e-29,3.195e-07,0.0333,0.037,793.2087,0.79,0.0
7,1,9413.421636,1.62e-28,1.817e-07,0.0496,0.048,79.5646,0.84,0.0
7,1,9414.216366,1.243e-29,3.173e-07,0.0313,0.036,933.5309,0.78,0.0
7,1,9414.5205,2.07e-29,2.859e-07,0.0333,0.037,791.0331,0.79,0.0
7,1,9416.410043,1.134e-29,2.865e-07,0.0313,0.036,931.3372,0.78,0.0
7,1,9423.371191,1.491e-28,1.755e-07,0.0478,0.047,128.3977,0.84,0.0
7,1,9433.01137,1.272e-28,1.713e-07,0.0459,0.045,188.7134,0.83,0.0
7,1,9442.340565,1.011e-28,1.685e-07,0.0438,0.043,260.5009,0.83,0.0
7,1,9451.356608,7.5e-29,1.662e-07,0.0416,0.042,343.7481,0.81,0.0
7,1,9460.057016,5.212e-29,1.646e-07,0.0392,0.041,438.4413,0.81,0.0
7,1,9468.439091,3.399e-29,1.633e-07,0.0368,0.039,544.5651,0.8,0.0
7,1,9476.499963,2.082e-29,1.623e-07,0.0345,0.038,662.102,0.8,0.0
7,1,9484.236615,1.199e-29,1.615e-07,0.0323,0.036,791.0331,0.78,0.0
