 71 9128.953435 9.454E-32 1.230E-07.02590.031 1803.17370.750.000000       a      1       X      0                O 35P 34     d45554049221411 2 0    67.0   69.0
 71 9145.092735 2.308E-31 1.231E-07.02720.032 1606.34820.760.000000       a      1       X      0                O 33P 32     d45554049221411 2 0    63.0   65.0
 71 9160.953131 5.308E-31 1.231E-07.02860.034 1420.76310.770.000000       a      1       X      0                O 31P 30     d45554049221411 2 0    59.0   61.0
 71 9176.534477 1.150E-30 1.230E-07.03030.035 1246.44860.780.000000       a      1       X      0                O 29P 28     d45554049221411 2 0    55.0   57.0
 71 9191.836511 2.343E-30 1.228E-07.03230.036 1083.43320.780.000000       a      1       X      0                O 27P 26     d46664049221411 2 0    51.0   53.0
 71 9206.858861 4.484E-30 1.224E-07.03450.038  931.74310.800.000000       a      1       X      0                O 25P 24     d46664049221411 2 0    47.0   49.0
 71 9210.747556 7.503E-32 2.528E-07.02450.029 2012.89140.730.000000       a      1       X      0                P 37P 37     d45554049221411 2 0    73.0   75.0
 71 9212.431194 8.143E-32 2.722E-07.02450.029 2011.20770.730.000000       a      1       X      0                P 37Q 36     d45554049221411 2 0    73.0   73.0
 71 9221.601050 8.049E-30 1.218E-07.03680.039  791.40310.800.000000       a      1       X      0                O 23P 22     d46664049221411 2 0    43.0   45.0
 71 9221.696453 1.944E-31 2.527E-07.02540.030 1804.87450.740.000000       a      1       X      0                P 35P 35     d45554049221411 2 0    69.0   71.0
 71 9223.397221 2.118E-31 2.731E-07.02540.030 1803.17370.740.000000       a      1       X      0                P 35Q 34     d45554049221411 2 0    69.0   69.0
 71 9232.349657 4.750E-31 2.524E-07.02650.032 1608.06610.750.000000       a      1       X      0                P 33P 33     d45554049221411 2 0    65.0   67.0
 71 9234.067623 5.202E-31 2.742E-07.02650.032 1606.34820.750.000000       a      1       X      0                P 33Q 32     d45554049221411 2 0    65.0   65.0
 71 9236.062499 1.353E-29 1.210E-07.03920.041  662.43590.810.000000       a      1       X      0                O 21P 20     d46664049221411 2 0    39.0   41.0
 71 9242.708113 1.094E-30 2.519E-07.02790.033 1422.49830.760.000000       a      1       X      0                P 31P 31     d45554049221411 2 0    61.0   63.0
 71 9244.443360 1.205E-30 2.752E-07.02790.033 1420.76310.760.000000       a      1       X      0                P 31Q 30     d45554049221411 2 0    61.0   61.0
 71 9250.242538 2.122E-29 1.197E-07.04160.042  544.86220.810.000000       a      1       X      0                O 19P 18     d46664049221411 2 0    35.0   37.0
 71 9252.772649 2.374E-30 2.513E-07.02940.034 1248.20130.780.000000       a      1       X      0                P 29P 29     d45554049221411 2 0    57.0   59.0
 71 9254.525275 2.630E-30 2.761E-07.02940.034 1246.44860.780.000000       a      1       X      0                P 29Q 28     d45554049221411 2 0    57.0   57.0
 71 9262.543971 4.846E-30 2.503E-07.03130.036 1085.20330.780.000000       a      1       X      0                P 27P 27     d45554049221411 2 0    53.0   55.0
